Date,City,BHK_Apartment,Building_Name,Prop_ID,Bedroom_Num,Bathroom_Num,Ownership_Type,Property_Type,Facing,Furnished,Property_Age,Area_SQFT,Price_per_SQFT,Sum of Price_SQFT,Sum of Total_Price
2021-04-23 00:00:00,Hyderabad,1 BHK Flat,A1 Suite,B70988950,1,1,Freehold,Residential Land,West,Furnished,0-1 Year Old Property,100,,500,50000
2017-04-27 00:00:00,Kolkata,1 BHK Flat,Arabinda Sarani,W70922556,1,1,Leasehold,Residential Land,East,Semifurnished,10+ Year Old Property,100,,500,50000
2018-01-30 00:00:00,Kolkata,1 BHK Flat,New Life,H69588542,1,1,Leasehold,Residential Land,East,Furnished,10+ Year Old Property,100,,500,50000
2019-01-23 00:00:00,Mumbai,1 BHK Flat,New Life,P45651403,1,1,Leasehold,Independent House/Villa,North,Furnished,0-1 Year Old Property,100,,500,50000
2017-04-26 00:00:00,Kolkata,1 BHK Flat,Orbit Saila Sandhya,O70844336,1,1,Leasehold,Residential Land,South,Furnished,10+ Year Old Property,100,,500,50000
2019-08-29 00:00:00,Mumbai,1 BHK Flat,"PL5 building, next to veer hospital",O70098938,1,1,Leasehold,Residential Apartment,East,Unfurnished,0-1 Year Old Property,100,,500,50000
2019-07-14 00:00:00,Hyderabad,2 BHK Flat,A1 Suite,V69928160,2,1,Freehold,Independent House/Villa,East,Unfurnished,1-5 Year Old Property,100,,500,50000
2019-08-19 00:00:00,Mumbai,2 BHK Flat,Chaitanya Height,T67232070,2,1,Leasehold,Residential Apartment,East,Furnished,0-1 Year Old Property,100,,500,50000
2019-04-05 00:00:00,Mumbai,2 BHK Flat,joshi building..fort,M70721370,2,1,Leasehold,Residential Apartment,East,Furnished,0-1 Year Old Property,100,,500,50000
2018-03-15 00:00:00,Kolkata,2 BHK Flat,New Life,D71003728,2,1,Leasehold,Residential Land,North,Furnished,10+ Year Old Property,100,,500,50000
2017-12-28 00:00:00,Kolkata,4 BHK Flat,Karunamoyee Housing Society,Y71403440,4,2,Leasehold,Residential Land,South,Furnished,10+ Year Old Property,100,,500,50000
2018-01-25 00:00:00,Kolkata,4 BHK Flat,On Request,H70961734,4,2,Co-operative Society,Residential Land,South-East,Furnished,0-1 Year Old Property,100,,500,50000
2019-08-09 00:00:00,Mumbai,3 BHK Flat,Green Crest,F70001962,3,3,Leasehold,Residential Apartment,North-East,Furnished,0-1 Year Old Property,100,,500,50000
2017-08-31 00:00:00,Kolkata,3 BHK Flat,shree residenza,D70615648,3,3,Leasehold,Residential Land,North,Semifurnished,5-10 Year Old Property,100,,500,50000
2018-04-26 00:00:00,Kolkata,3 BHK Flat,Trimurti Apartment,M69727640,3,3,Leasehold,Residential Land,North,Furnished,1-5 Year Old Property,100,,500,50000
